Source,Target,Type,Label,Weight,TimeInterval
371,402,Directed,,0.011034596,"[2017,2019)"
336,403,Directed,,0.024842697,"[2017,2018)"
369,404,Directed,,0.016256261,"[2017,2019)"
366,405,Directed,,0.060151765,"[2017,2018)"
373,406,Directed,,0.035803941,"[2017,2019)"
330,407,Directed,,0.04670176,"[2017,2019)"
358,408,Directed,,0.01049644,"[2017,2019)"
354,409,Directed,,0.050949042,"[2017,2019)"
339,410,Directed,,0.005531873,"[2017,2019)"
311,411,Directed,,0.022862652,"[2017,2019)"
289,412,Directed,,0.012111807,"[2017,2018)"
355,413,Directed,,0.028393648,"[2017,2018)"
374,414,Directed,,0.015299175,"[2017,2019)"
292,415,Directed,,0.007566408,"[2017,2019)"
376,416,Directed,,0.010300672,"[2017,2019)"
328,417,Directed,,0.002484059,"[2017,2019)"
356,418,Directed,,0.005542256,"[2017,2019)"
370,419,Directed,,0.018568791,"[2017,2019)"
342,420,Directed,,0.00264978,"[2017,2019)"
331,421,Directed,,0.006295675,"[2017,2019)"
364,422,Directed,,0.022434608,"[2017,2019)"
363,423,Directed,,0.002296362,"[2017,2019)"
369,424,Directed,,0.002853442,"[2017,2019)"
367,425,Directed,,0.012575527,"[2017,2018)"
345,426,Directed,,0.003600995,"[2017,2019)"
338,427,Directed,,0.025476835,"[2017,2019)"
372,428,Directed,,0.005390872,"[2017,2019)"
350,429,Directed,,0.002970214,"[2017,2019)"
301,430,Directed,,0.005378918,"[2017,2019)"
349,431,Directed,,0.061448192,"[2018,2019)"
283,432,Directed,,0.015724403,"[2018,2019)"
397,433,Directed,,0.015170547,"[2018,2019)"
363,434,Directed,,0.020411749,"[2018,2019)"
388,435,Directed,,0.019842517,"[2018,2019)"
394,436,Directed,,0.051237971,"[2018,2019)"
378,437,Directed,,0.07609201,"[2018,2019)"
405,438,Directed,,0.091272217,"[2018,2019)"
383,439,Directed,,0.031011102,"[2018,2019)"
334,440,Directed,,0.028191539,"[2018,2019)"
383,441,Directed,,0.020439442,"[2018,2019)"
324,442,Directed,,0.004791804,"[2018,2019)"
366,443,Directed,,0.053337432,"[2018,2019)"
403,444,Directed,,0.033219612,"[2018,2019)"
422,445,Directed,,0.025527985,"[2018,2019)"
281,446,Directed,,0.015703389,"[2018,2019)"
348,447,Directed,,0.02870239,"[2018,2019)"
387,448,Directed,,0.018363709,"[2018,2019)"
413,449,Directed,,0.013248186,"[2018,2019)"
376,450,Directed,,0.030422927,"[2018,2019)"
384,451,Directed,,0.018551916,"[2018,2019)"
375,452,Directed,,0.027413848,"[2018,2019)"
420,453,Directed,,0.012834499,"[2018,2019)"
425,454,Directed,,0.043069239,"[2018,2019)"
408,455,Directed,,0.00943535,"[2018,2019)"
334,456,Directed,,0.032480396,"[2018,2019)"
404,457,Directed,,0.007771066,"[2018,2019)"
312,458,Directed,,0.012205995,"[2018,2019)"
311,459,Directed,,0.003325094,"[2018,2019)"
414,460,Directed,,0.021181774,"[2018,2019)"
413,461,Directed,,0.083115458,"[2018,2019)"
405,462,Directed,,0.042645055,"[2018,2019)"
391,463,Directed,,0.089197976,"[2018,2019)"
375,464,Directed,,0.00378826,"[2018,2019)"
409,465,Directed,,0.02071208,"[2018,2019)"
346,466,Directed,,0.013656012,"[2018,2019)"
401,467,Directed,,0.01355603,"[2018,2019)"
419,468,Directed,,0.004146236,"[2018,2019)"
374,469,Directed,,0.003053894,"[2018,2019)"
350,470,Directed,,0.0059953,"[2018,2019)"
364,471,Directed,,0.022077261,"[2018,2019)"
439,472,Directed,,0.056561083,"[2019,2019)"
433,473,Directed,,0.023373063,"[2019,2019)"
398,474,Directed,,0.012047629,"[2019,2019)"
448,475,Directed,,0.028066738,"[2019,2019)"
439,476,Directed,,0.049957979,"[2019,2019)"
384,477,Directed,,0.049335148,"[2019,2019)"
350,478,Directed,,0.084270725,"[2019,2019)"
309,479,Directed,,0.066376959,"[2019,2019)"
434,480,Directed,,0.014548626,"[2019,2019)"
442,481,Directed,,0.011020397,"[2019,2019)"
